,,startup,,runtime,,algorithm,,support,
,,,,,,,,,
client,,,,html,,,,,
,,,,css,,,,,
,,,,javascript,,,,,
,,,,dom,,,,,
,,,,gwt,,,,,
,,,,,,,,,
transport,,,,socket,,dos,,,
,,,,websocket,,,,,
,,,,"unix msq",,,,,
,,,,"posix msq",,,,,
,,,,,,,,,
middle,,parser,,dbus,,routing,,makefile,
,,"boost spirit",,multithread,,vector-distance,,scripting,
,,,,raii,,link-state,,"unit test",
,,,,stl,,converge,,"system test",
,,,,stdc++,,testability,,,
,,,,exception,,recovery,,,
,,,,shm,,logging,,,
,,,,mmap,,reflection,,,
,,,,distributed,,,,,
,,,,,,,,,
service,,"linux boot",,"kernel interface",,,,dmesg,
,,"user kernel",,"exec mechanism",,,,sysfs,
,,drivers,,memory,,,,debugfs,
,,,,cache,,,,proc,
,,,,sem,,,,,
,,,,spinlock,,,,,
,,,,context,,,,,
